time,open,high,low,close,volume
2022/06/15-13:45,4325.6,4338.08,4322.4,4338.08,781272
2022/06/15-13:50,4338.07,4339.64,4335.82,4338.24,628511
2022/06/15-13:55,4338.21,4338.21,4331.47,4331.58,541151
2022/06/15-14:00,4331.29,4342.98,4330.44,4342.06,716098
2022/06/15-14:05,4341.97,4341.97,4331.49,4331.8,587331
2022/06/15-14:10,4331.87,4332.7,4317.82,4317.82,651098
2022/06/15-14:15,4317.57,4323.33,4315.03,4323.09,591715
2022/06/15-14:20,4323.14,4325.17,4319.38,4323.92,504063
2022/06/15-14:25,4323.87,4323.87,4314.37,4314.5,578847
2022/06/15-14:30,4314.63,4317.13,4310.76,4316.81,583339
2022/06/15-14:35,4316.98,4318.6,4315.77,4316.65,559670
2022/06/15-14:40,4316.82,4316.89,4308.93,4308.99,575379
2022/06/15-14:45,4308.73,4308.73,4300.83,4302.97,793861
2022/06/15-14:50,4302.86,4303.3,4289.23,4289.23,823201
2022/06/15-14:55,4288.91,4290.24,4284.19,4284.31,1077540
2022/06/15-15:00,4284.36,4284.36,4278.22,4278.22,1013871
2022/06/16-09:35,4282.08,4300.56,4282.08,4290.98,3056973
2022/06/16-09:40,4290.76,4302.92,4287.31,4293.85,1822560
2022/06/16-09:45,4294.15,4294.15,4278.67,4285.57,1549726
2022/06/16-09:50,4285.71,4293.31,4276.74,4293.24,1314494
2022/06/16-09:55,4293.52,4297.02,4286.96,4286.96,1278671
2022/06/16-10:00,4287.01,4287.25,4275.24,4280.98,1123155
2022/06/16-10:05,4281.4,4289.09,4278.35,4289.09,933329
2022/06/16-10:10,4289.38,4293.77,4284.48,4284.48,874101
2022/06/16-10:15,4284.25,4284.57,4277.41,4278.65,740707
2022/06/16-10:20,4278.33,4288.22,4278.11,4278.25,742856
2022/06/16-10:25,4278.55,4278.55,4272.61,4272.86,772955
2022/06/16-10:30,4272.28,4276.66,4266.92,4274.86,778186
2022/06/16-10:35,4274.99,4278.92,4272.54,4278.64,602123
2022/06/16-10:40,4278.79,4284.0,4278.79,4279.19,475787
2022/06/16-10:45,4279.29,4286.76,4277.42,4286.5,458005
2022/06/16-10:50,4286.44,4297.65,4286.44,4291.95,581852
2022/06/16-10:55,4292.17,4297.93,4290.51,4296.01,512501
2022/06/16-11:00,4296.02,4296.49,4286.96,4291.1,467828
2022/06/16-11:05,4291.17,4291.17,4286.44,4290.04,417545
2022/06/16-11:10,4290.07,4294.39,4289.66,4291.6,471904
2022/06/16-11:15,4291.65,4294.47,4290.79,4291.12,469723
2022/06/16-11:20,4291.27,4294.65,4286.6,4286.63,433030
2022/06/16-11:25,4286.33,4292.72,4283.21,4292.68,395912
2022/06/16-11:30,4292.76,4294.54,4292.02,4292.05,364771
2022/06/16-13:05,4292.28,4293.45,4286.01,4293.35,621927
2022/06/16-13:10,4293.2,4293.39,4285.17,4291.14,516981
2022/06/16-13:15,4291.45,4291.45,4274.17,4274.17,611925
2022/06/16-13:20,4273.98,4276.74,4271.71,4274.17,513291
2022/06/16-13:25,4274.37,4278.05,4272.4,4272.51,396075
2022/06/16-13:30,4272.12,4277.21,4270.09,4275.68,488275
2022/06/16-13:35,4275.43,4275.52,4267.8,4268.05,425020
2022/06/16-13:40,4267.93,4270.6,4267.0,4269.58,414288
2022/06/16-13:45,4269.74,4270.5,4266.88,4267.17,442872
2022/06/16-13:50,4266.76,4266.84,4256.92,4258.14,717780
2022/06/16-13:55,4257.95,4258.43,4249.04,4252.18,694151
2022/06/16-14:00,4252.43,4263.3,4252.33,4254.09,550746
2022/06/16-14:05,4253.96,4253.99,4246.83,4246.97,550371
2022/06/16-14:10,4246.59,4246.76,4241.08,4241.66,621928
2022/06/16-14:15,4241.67,4254.21,4241.52,4254.21,507380
2022/06/16-14:20,4254.31,4259.4,4254.31,4257.46,412000
2022/06/16-14:25,4257.36,4264.96,4256.98,4264.96,408095
2022/06/16-14:30,4264.93,4265.56,4258.99,4259.16,376848
2022/06/16-14:35,4259.24,4262.06,4252.59,4253.78,555415
2022/06/16-14:40,4254.08,4254.55,4249.89,4250.09,548129
2022/06/16-14:45,4250.4,4251.64,4244.15,4246.59,691407
2022/06/16-14:50,4246.61,4251.63,4246.6,4251.43,587650
2022/06/16-14:55,4251.74,4253.04,4251.74,4252.45,688130
2022/06/16-15:00,4251.9,4252.88,4250.06,4250.06,744188
2022/06/17-09:35,4219.23,4242.29,4218.68,4242.15,2201434
2022/06/17-09:40,4242.44,4244.15,4234.49,4240.87,1319638
2022/06/17-09:45,4241.19,4249.66,4239.63,4247.94,1186521
2022/06/17-09:50,4248.86,4263.06,4248.62,4263.06,1061670
2022/06/17-09:55,4263.51,4274.07,4259.38,4274.04,1125814
2022/06/17-10:00,4273.82,4275.23,4266.96,4272.54,1033936
2022/06/17-10:05,4272.87,4288.55,4272.87,4288.2,1156926
2022/06/17-10:10,4288.21,4288.78,4279.33,4280.42,974412
2022/06/17-10:15,4279.66,4282.45,4275.93,4280.39,818796
2022/06/17-10:20,4280.47,4287.1,4278.73,4278.73,806139
2022/06/17-10:25,4279.06,4279.06,4266.12,4266.33,827100
2022/06/17-10:30,4265.94,4277.01,4264.95,4270.56,705908
2022/06/17-10:35,4270.28,4277.78,4270.19,4277.78,586331
2022/06/17-10:40,4277.98,4279.26,4265.09,4265.17,561292
2022/06/17-10:45,4265.29,4268.77,4262.8,4266.29,522331
2022/06/17-10:50,4266.33,4268.02,4250.86,4250.86,614452
2022/06/17-10:55,4250.91,4251.54,4245.09,4247.21,658470
2022/06/17-11:00,4247.12,4247.12,4230.45,4240.14,891242
2022/06/17-11:05,4240.62,4248.01,4238.08,4248.01,496418
2022/06/17-11:10,4247.71,4247.94,4237.45,4237.45,379748
2022/06/17-11:15,4237.84,4246.01,4234.35,4246.01,448322
2022/06/17-11:20,4246.14,4255.61,4245.82,4255.11,338591
2022/06/17-11:25,4255.46,4269.76,4254.66,4269.71,436247
2022/06/17-11:30,4269.98,4272.43,4261.13,4261.18,400579
2022/06/17-13:05,4260.98,4280.99,4260.98,4280.78,707289
2022/06/17-13:10,4280.89,4281.09,4274.79,4275.5,477158
2022/06/17-13:15,4275.38,4282.26,4275.38,4281.81,449342
2022/06/17-13:20,4282.01,4283.72,4276.9,4282.32,498792
2022/06/17-13:25,4282.24,4288.43,4282.13,4287.71,625059
2022/06/17-13:30,4288.33,4288.58,4280.6,4288.58,605550
2022/06/17-13:35,4289.02,4299.92,4288.84,4298.79,772679
2022/06/17-13:40,4298.75,4300.91,4293.62,4300.91,574531
2022/06/17-13:45,4300.91,4309.39,4300.8,4309.39,745945
2022/06/17-13:50,4309.58,4309.84,4302.32,4303.18,662637
2022/06/17-13:55,4303.64,4307.05,4302.15,4304.24,553039
2022/06/17-14:00,4304.49,4305.65,4296.4,4298.27,578984
2022/06/17-14:05,4298.4,4299.76,4295.99,4296.09,517009
2022/06/17-14:10,4294.89,4297.57,4288.43,4297.57,508552
2022/06/17-14:15,4297.55,4303.59,4296.77,4303.54,501777
2022/06/17-14:20,4303.23,4304.9,4301.38,4304.71,481620
2022/06/17-14:25,4304.75,4308.15,4304.71,4307.98,495802
2022/06/17-14:30,4308.32,4313.11,4307.81,4312.83,534956
2022/06/17-14:35,4313.13,4315.71,4312.19,4314.11,718646
2022/06/17-14:40,4313.87,4318.77,4313.87,4316.54,682544
2022/06/17-14:45,4316.55,4316.55,4309.44,4309.73,688488
2022/06/17-14:50,4309.77,4310.28,4308.06,4309.17,702374
2022/06/17-14:55,4309.36,4312.86,4308.77,4312.75,819392
2022/06/17-15:00,4312.72,4313.63,4309.04,4309.04,1213066
2022/06/20-09:35,4322.83,4334.43,4316.11,4334.3,3208753
2022/06/20-09:40,4334.22,4334.46,4308.47,4309.43,1993568
2022/06/20-09:45,4309.37,4323.66,4309.33,4323.66,1475158
2022/06/20-09:50,4324.06,4332.84,4321.05,4332.34,1374690
2022/06/20-09:55,4332.03,4332.03,4321.33,4321.88,1298067
2022/06/20-10:00,4321.62,4321.62,4303.24,4310.9,1282178
2022/06/20-10:05,4311.32,4311.54,4298.0,4298.0,1196648
2022/06/20-10:10,4297.89,4315.02,4297.89,4315.02,895554
2022/06/20-10:15,4315.09,4317.87,4313.08,4316.58,764217
2022/06/20-10:20,4316.71,4317.44,4310.33,4314.02,782093
2022/06/20-10:25,4314.45,4317.54,4311.83,4315.02,767354
2022/06/20-10:30,4315.09,4315.09,4305.09,4309.21,797460
2022/06/20-10:35,4309.38,4324.05,4309.29,4323.56,760868
2022/06/20-10:40,4323.66,4328.8,4323.6,4328.51,645688
2022/06/20-10:45,4328.32,4332.57,4328.08,4331.97,743857
2022/06/20-10:50,4331.94,4337.64,4331.46,4337.64,688336
2022/06/20-10:55,4338.16,4338.27,4331.0,4332.79,655054
2022/06/20-11:00,4333.17,4347.02,4332.71,4347.02,653630
2022/06/20-11:05,4347.67,4351.4,4344.7,4350.72,740881
2022/06/20-11:10,4350.99,4354.37,4347.49,4347.49,618870
2022/06/20-11:15,4347.58,4353.87,4347.32,4353.87,507041
2022/06/20-11:20,4353.96,4368.21,4353.94,4368.21,744226
2022/06/20-11:25,4368.36,4368.36,4338.22,4342.48,794648
2022/06/20-11:30,4342.56,4342.56,4333.22,4339.65,574980
2022/06/20-13:05,4340.39,4348.3,4339.4,4345.82,672134
2022/06/20-13:10,4346.03,4346.11,4339.92,4346.11,505821
2022/06/20-13:15,4345.91,4347.01,4331.56,4332.92,548056
2022/06/20-13:20,4332.65,4332.75,4324.75,4326.97,552477
2022/06/20-13:25,4326.89,4332.35,4322.44,4332.04,514630
2022/06/20-13:30,4331.83,4335.19,4329.19,4334.42,380398
2022/06/20-13:35,4334.92,4340.09,4332.9,4339.9,446902
2022/06/20-13:40,4340.3,4341.74,4339.66,4340.22,409306
2022/06/20-13:45,4339.83,4343.64,4339.8,4343.13,420839
2022/06/20-13:50,4342.78,4347.98,4341.22,4347.78,444302
2022/06/20-13:55,4347.93,4349.17,4340.2,4340.71,459597
2022/06/20-14:00,4340.91,4345.5,4340.64,4342.54,408470
2022/06/20-14:05,4342.78,4344.84,4339.71,4339.71,457005
2022/06/20-14:10,4339.67,4340.4,4332.04,4332.46,470163
2022/06/20-14:15,4332.79,4335.32,4332.59,4333.74,418948
2022/06/20-14:20,4333.72,4341.57,4333.72,4341.17,409184
2022/06/20-14:25,4341.26,4341.46,4337.06,4337.27,391099
2022/06/20-14:30,4337.0,4340.28,4336.91,4340.28,417190
2022/06/20-14:35,4340.55,4342.67,4330.72,4331.19,595366
2022/06/20-14:40,4331.23,4331.23,4326.58,4330.37,574587
2022/06/20-14:45,4330.58,4330.82,4327.4,4327.94,556871
2022/06/20-14:50,4327.64,4334.92,4327.64,4334.26,575072
2022/06/20-14:55,4334.46,4334.46,4329.59,4330.19,695280
2022/06/20-15:00,4330.68,4332.66,4330.36,4330.43,669395
2022/06/21-09:35,4327.92,4328.2,4309.9,4323.45,2114888
2022/06/21-09:40,4323.6,4337.88,4319.38,4337.88,1367359
2022/06/21-09:45,4337.73,4337.73,4331.0,4331.71,1210836
2022/06/21-09:50,4331.65,4331.68,4322.93,4329.0,1160235
2022/06/21-09:55,4329.47,4344.9,4325.86,4344.68,1016256
2022/06/21-10:00,4344.33,4350.4,4342.48,4345.85,916148
2022/06/21-10:05,4345.67,4355.5,4345.67,4354.96,915972
2022/06/21-10:10,4354.63,4354.63,4347.44,4349.07,814492
2022/06/21-10:15,4348.98,4349.27,4342.95,4348.83,679668
2022/06/21-10:20,4348.93,4349.66,4334.42,4334.42,762798
2022/06/21-10:25,4334.42,4336.28,4329.06,4329.12,782010
2022/06/21-10:30,4328.96,4331.62,4325.09,4331.44,672177
2022/06/21-10:35,4331.67,4336.59,4327.77,4336.59,686760
2022/06/21-10:40,4336.39,4336.78,4328.88,4328.88,506357
2022/06/21-10:45,4328.98,4328.98,4313.72,4313.72,700501
2022/06/21-10:50,4313.27,4315.87,4310.59,4311.61,690729
2022/06/21-10:55,4311.29,4320.15,4310.58,4319.57,469279
2022/06/21-11:00,4319.93,4319.93,4309.62,4314.78,486576
2022/06/21-11:05,4314.55,4324.58,4314.55,4324.09,440989
2022/06/21-11:10,4323.65,4328.15,4321.91,4323.39,386613
2022/06/21-11:15,4323.77,4329.35,4322.33,4329.06,369382
2022/06/21-11:20,4329.12,4338.96,4329.12,4336.96,477065
2022/06/21-11:25,4336.69,4340.98,4333.66,4335.69,494242
2022/06/21-11:30,4335.18,4345.89,4334.39,4345.31,513455
2022/06/21-13:05,4347.11,4357.34,4347.11,4350.72,837115
2022/06/21-13:10,4350.58,4350.77,4337.37,4339.96,519843
2022/06/21-13:15,4339.7,4340.12,4333.03,4333.03,464499
2022/06/21-13:20,4333.1,4339.43,4332.09,4333.94,473117
2022/06/21-13:25,4333.76,4334.36,4324.47,4324.55,453982
2022/06/21-13:30,4324.71,4329.82,4324.41,4329.36,394756
2022/06/21-13:35,4329.61,4331.18,4326.2,4330.23,384513
2022/06/21-13:40,4330.3,4330.3,4323.37,4323.37,395454
2022/06/21-13:45,4323.56,4325.47,4317.47,4324.58,582109
2022/06/21-13:50,4324.53,4324.53,4318.0,4318.0,420037
2022/06/21-13:55,4318.01,4318.01,4308.82,4310.86,594889
2022/06/21-14:00,4310.84,4310.84,4303.72,4304.42,551536
2022/06/21-14:05,4304.37,4310.97,4304.23,4306.45,475636
2022/06/21-14:10,4306.19,4306.19,4295.7,4296.91,733729
2022/06/21-14:15,4296.74,4297.33,4287.14,4292.05,792892
2022/06/21-14:20,4292.03,4301.52,4290.06,4301.43,564970
2022/06/21-14:25,4301.45,4304.69,4297.31,4297.31,484799
2022/06/21-14:30,4297.33,4301.04,4295.14,4299.15,413705
